name,AB_CFS,BN_CFS,DS_CFS,DT_CFS,HT_CFS,Ibk_CFS,J48_CFS,Jrip_CFS,LMT_CFS,LOG_CFS,LB_CFS,MLP_CFS,NB_CFS,ONE_CFS,PART_CFS,RC_CFS,RF_CFS,RS_CFS,RT_CFS,REP_CFS,SGD_CFS,SL_CFS,SVM_CFS,STK_CFS,VOTE_CFS,VP_CFS,ZERO_CFS
fri_c3_100_50.arff,0.9128,0.8669643,0.7619049,0.8324404,0.775,0.8514,0.8432,0.7383,0,0.7317,0.9252977,0.636,0.7767,0.8107142,0.817262,0.7892857,0.9177,0.8851191,0.7660715,0.8103,0.7037,0.7160714,0.6855,0.5,0.5,0.7928572,0.5
fri_c3_1000_10.arff,0.9572,0.9237826,0.7026786,0.9270089,0.6992,0.8781,0.9159,0.8746,0,0.7082,0.9298701,0.7016,0.7047,0.7383929,0.9207386,0.9412744,0.9664,0.938129,0.8574675,0.9197,0.6324,0.7128246,0.6492,0.5,0.5,0.654931,0.5
fri_c3_1000_25.arff,0.9683,0.937035,0.7008712,0.9464594,0.7278,0.8962,0.9274,0.9023,0,0.7294,0.9345034,0.7215,0.7278,0.7365782,0.9256146,0.9556294,0.9744,0.9463601,0.8817515,0.9205,0.6723,0.7326594,0.6749,0.5,0.5,0.6690666,0.5
fri_c3_1000_5.arff,0.9572,0.9144718,0.7053627,0.9257613,0.7124,0.8648,0.8759,0.894,0,0.7152,0.9190058,0.7071,0.7123,0.7259326,0.9134163,0.9257549,0.9618,0.9259612,0.845422,0.8995,0.6382,0.7159378,0.6428,0.5,0.5,0.6610749,0.5
fri_c3_1000_50.arff,0.9574,0.9149877,0.7153012,0.9322394,0.7335,0.8421,0.8911,0.8699,0,0.7265,0.9208682,0.7226,0.7145,0.74239,0.9116824,0.9428049,0.968,0.931158,0.8652687,0.8725,0.6548,0.7283062,0.6563,0.5,0.5,0.6914596,0.5
fri_c3_250_10.arff,0.9654,0.9293039,0.6855354,0.9164918,0.675,0.8625,0.8827,0.8802,0,0.6785,0.9553821,0.6628,0.6875,0.8108475,0.8694306,0.9170871,0.9647,0.9438228,0.8439602,0.8704,0.5776,0.7114053,0.5831,0.5,0.5,0.6456836,0.5
fri_c3_250_25.arff,0.9266,0.8777306,0.7259157,0.8628536,0.6954,0.8236,0.8617,0.8199,0,0.6876,0.9076216,0.6495,0.6954,0.7536174,0.8453505,0.8938145,0.91,0.9122043,0.8671912,0.8509,0.6038,0.6736432,0.5912,0.5,0.5,0.6651556,0.5
fri_c3_250_5.arff,0.9159,0.8776537,0.7437445,0.8946668,0.7429,0.8413,0.8379,0.8334,0,0.7321,0.8969395,0.7273,0.7292,0.7579654,0.8965109,0.8929566,0.9212,0.889368,0.77658,0.8,0.6476,0.7493074,0.6586,0.5,0.5,0.7179914,0.5
fri_c3_250_50.arff,0.9533,0.8989998,0.6983333,0.9102553,0.6562,0.8335,0.8868,0.8353,0,0.6775,0.9185496,0.6281,0.6826,0.7902598,0.8605586,0.9247012,0.9494,0.9250519,0.8389827,0.85,0.638,0.6730389,0.6288,0.5,0.5,0.6430605,0.5
fri_c3_500_10.arff,0.9587,0.9215575,0.687921,0.9262325,0.6975,0.9083,0.8805,0.8454,0,0.7013,0.9222088,0.6875,0.6975,0.715558,0.9041666,0.9296802,0.9645,0.9355245,0.8443846,0.9045,0.6319,0.7092801,0.629,0.5,0.5,0.6509958,0.5
